TITLES,RATINGS
1. The Shawshank Redemption,9.3 (2.9M)
2. The Godfather,9.2 (2M)
3. The Dark Knight,9.0 (2.9M)
4. The Godfather Part II,9.0 (1.4M)
5. 12 Angry Men,9.0 (859K)
6. Schindler's List,9.0 (1.4M)
7. The Lord of the Rings: The Return of the King,9.0 (2M)
8. Pulp Fiction,8.9 (2.2M)
9. The Lord of the Rings: The Fellowship of the Ring,8.9 (2M)
"10. The Good, the Bad and the Ugly",8.8 (808K)
11. Forrest Gump,8.8 (2.2M)
12. The Lord of the Rings: The Two Towers,8.8 (1.8M)
13. Fight Club,8.8 (2.3M)
14. Dune: Part Two,8.8 (253K)
15. Inception,8.8 (2.5M)
16. Star Wars: Episode V - The Empire Strikes Back,8.7 (1.4M)
17. The Matrix,8.7 (2M)
18. Goodfellas,8.7 (1.3M)
19. One Flew Over the Cuckoo's Nest,8.7 (1.1M)
20. Se7en,8.6 (1.8M)
21. Interstellar,8.7 (2.1M)
22. It's a Wonderful Life,8.6 (497K)
23. Seven Samurai,8.6 (365K)
24. The Silence of the Lambs,8.6 (1.5M)
25. Saving Private Ryan,8.6 (1.5M)
26. City of God,8.6 (798K)
27. Life Is Beautiful,8.6 (740K)
28. The Green Mile,8.6 (1.4M)
29. Terminator 2: Judgment Day,8.6 (1.2M)
30. Star Wars: Episode IV - A New Hope,8.6 (1.4M)
31. Back to the Future,8.5 (1.3M)
32. Spirited Away,8.6 (843K)
33. The Pianist,8.5 (907K)
34. Parasite,8.5 (948K)
35. Spider-Man: Across the Spider-Verse,8.6 (359K)
36. Psycho,8.5 (715K)
37. Gladiator,8.5 (1.6M)
38. The Lion King,8.5 (1.1M)
39. Léon: The Professional,8.5 (1.2M)
40. The Departed,8.5 (1.4M)
41. American History X,8.5 (1.2M)
42. Whiplash,8.5 (980K)
43. The Prestige,8.5 (1.4M)
44. Grave of the Fireflies,8.5 (308K)
45. Harakiri,8.6 (68K)
46. The Usual Suspects,8.5 (1.1M)
47. Casablanca,8.5 (604K)
48. The Intouchables,8.5 (924K)
49. Cinema Paradiso,8.5 (281K)
50. Modern Times,8.5 (258K)
51. Rear Window,8.5 (520K)
52. Once Upon a Time in the West,8.5 (348K)
53. Alien,8.5 (945K)
54. City Lights,8.5 (195K)
55. 12th Fail,9.0 (106K)
56. Apocalypse Now,8.4 (707K)
57. Django Unchained,8.5 (1.7M)
58. Memento,8.4 (1.3M)
59. WALL·E,8.4 (1.2M)
60. Raiders of the Lost Ark,8.4 (1M)
61. The Lives of Others,8.4 (409K)
62. Sunset Blvd.,8.4 (235K)
63. Paths of Glory,8.4 (211K)
64. Avengers: Infinity War,8.4 (1.2M)
65. Spider-Man: Into the Spider-Verse,8.4 (665K)
66. The Shining,8.4 (1.1M)
67. Witness for the Prosecution,8.4 (137K)
68. The Great Dictator,8.4 (236K)
69. Aliens,8.4 (759K)
